# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    67ms [MSG5] SETS^hwoutaux.4.src^a.4
    67ms [MSG5] SETS^hwoutaux.1.src^a.1
    67ms [MSG5] SETS^hwoutaux.2.src^a.2
    67ms [MSG5] SETS^hwoutaux.7.src^a.7
    67ms [MSG5] SETS^hwoutaux.8.src^
    67ms [MSG5] SETS^hwoutaux.5.src^a.5
    67ms [MSG5] SETS^hwoutaux.6.src^none
    67ms [MSG5] SETS^casc.22.src^
    67ms [MSG5] SETS^casc.23.src^
    67ms [MSG5] SETS^casc.20.src^
    67ms [MSG5] SETS^casc.21.src^
    67ms [MSG5] SETS^casc.26.src^
    67ms [MSG5] SETS^casc.27.src^
    67ms [MSG5] SETS^casc.24.src^
    67ms [MSG5] SETS^casc.25.src^
    67ms [MSG5] SETS^casc.30.src^
    67ms [MSG5] SETS^casc.31.src^
    67ms [MSG5] SETS^casc.28.src^
    67ms [MSG5] SETS^casc.29.src^
    67ms [MSG5] SETS^usbdaw.1.src^m.1
    67ms [MSG5] SETS^usbdaw.0.src^m.0
    67ms [MSG5] SETS^casc.6.src^
    67ms [MSG5] SETS^casc.7.src^
    67ms [MSG5] SETS^casc.4.src^
    67ms [MSG5] SETS^casc.5.src^
    67ms [MSG5] SETS^casc.10.src^
    67ms [MSG5] SETS^casc.11.src^
    67ms [MSG5] SETS^casc.8.src^
    67ms [MSG5] SETS^casc.9.src^
    67ms [MSG5] SETS^casc.14.src^
    67ms [MSG5] SETS^casc.15.src^
    67ms [MSG5] SETS^casc.12.src^
    67ms [MSG5] SETS^casc.13.src^
    67ms [MSG5] SETS^casc.18.src^
    67ms [MSG5] SETS^casc.19.src^
    67ms [MSG5] SETS^casc.16.src^
    67ms [MSG5] SETS^casc.17.src^
    67ms [MSG5] SETS^var.mtk.playsession^
    67ms [MSG5] SETS^firmware^3.4.8318-ui24
    70ms [MSG6] SETS^model^ui24
    70ms [MSG6] SETS^a.8.name^
    70ms [MSG6] SETS^a.7.afs.eq.6^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.7^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.4^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.5^1000.0000000000,116.0000000000,0.0000000000,0
    70ms [MSG6] SETS^a.7.afs.eq.10^1000.0000000000,116.0000000000,0.0000000000,0
