clave	veces	ultimo_valor
a.5.dyn.threshold	1	0.875
a.5.eq.bypass	1	0
a.5.eq.hpf	1	0
a.5.eq.linked	1	0
a.5.eq.lpf	1	1
a.5.eq.peak.0	1	0.5
a.5.eq.peak.1	1	0.5
a.5.eq.peak.10	1	0.5
a.5.eq.peak.11	1	0.5
a.5.eq.peak.12	1	0.5
a.5.eq.peak.13	1	0.5
a.5.eq.peak.14	1	0.5
a.5.eq.peak.15	1	0.5
a.5.eq.peak.16	1	0.5
a.5.eq.peak.17	1	0.5
a.5.eq.peak.18	1	0.5
a.5.eq.peak.19	1	0.5
a.5.eq.peak.2	1	0.5
a.5.eq.peak.20	1	0.5
a.5.eq.peak.21	1	0.5
a.5.eq.peak.22	1	0.5
a.5.eq.peak.23	1	0.5
a.5.eq.peak.24	1	0.5
a.5.eq.peak.25	1	0.5
a.5.eq.peak.26	1	0.5
a.5.eq.peak.27	1	0.5
a.5.eq.peak.28	1	0.5
a.5.eq.peak.29	1	0.5
a.5.eq.peak.3	1	0.5
a.5.eq.peak.30	1	0.5
a.5.eq.peak.4	1	0.5
a.5.eq.peak.5	1	0.5
a.5.eq.peak.6	1	0.5
a.5.eq.peak.7	1	0.5
a.5.eq.peak.8	1	0.5
a.5.eq.peak.9	1	0.5
a.5.eq.prmod	1	0
a.5.eq.prname	1	
a.5.forceunmute	1	0
a.5.gate.attack	1	0
a.5.gate.bypass	1	0
a.5.gate.depth	1	0
a.5.gate.enabled	1	1
a.5.gate.hold	1	0.3042441765
a.5.gate.prmod	1	0
a.5.gate.prname	1	
a.5.gate.release	1	0.3150737134
